t, Pond Storage,t, Pond Outflow,t, Pond Inflow,t, Rain
40178.80000,0,40178.80000,0,40178.80000,0,40178.80000,0
40178.81000,0,40178.81000,0,40178.81000,0,40178.81000,0
40178.82000,0,40178.82000,0,40178.82000,0,40178.82000,0
40178.83000,0,40178.83000,0,40178.83000,0,40178.83000,0
40178.84000,0,40178.84000,0,40178.84000,0,40178.84000,0
40178.85000,0,40178.85000,0,40178.85000,0,40178.85000,0
40178.86000,0,40178.86000,0,40178.86000,0,40178.86000,0
40178.87000,0,40178.87000,0,40178.87000,0,40178.87000,0
40178.88000,0,40178.88000,0,40178.88000,0,40178.88000,0
40178.89000,0,40178.89000,0,40178.89000,0,40178.89000,0
40178.90000,0,40178.90000,0,40178.90000,0,40178.90000,0
40178.91000,0,40178.91000,0,40178.91000,0,40178.91000,0
40178.92000,0,40178.92000,0,40178.92000,0,40178.92000,0
40178.93000,0,40178.93000,0,40178.93000,0,40178.93000,0
40178.94000,0,40178.94000,0,40178.94000,0,40178.94000,0
40178.95000,0,40178.95000,0,40178.95000,0,40178.95000,0
40178.96000,0,40178.96000,0,40178.96000,0,40178.96000,0
40178.97000,0,40178.97000,0,40178.97000,0,40178.97000,0
40178.98000,0,40178.98000,0,40178.98000,0,40178.98000,0
40178.99000,0,40178.99000,0,40178.99000,0,40178.99000,0
40179.00000,0,40179.00000,0,40179.00000,0,40179.00000,0
40179.01000,0,40179.01000,0,40179.01000,0,40179.01000,0
40179.02000,0,40179.02000,0,40179.02000,0,40179.02000,0
40179.03000,0,40179.03000,0,40179.03000,0,40179.03000,0
40179.04000,0,40179.04000,0,40179.04000,0,40179.04000,0
40179.05000,0,40179.05000,0,40179.05000,0,40179.05000,0
40179.06000,0,40179.06000,0,40179.06000,0,40179.06000,0
40179.07000,0,40179.07000,0,40179.07000,0,40179.07000,0
40179.08000,0,40179.08000,0,40179.08000,0,40179.08000,0
40179.09000,0,40179.09000,0,40179.09000,0,40179.09000,0
40179.10000,0,40179.10000,0,40179.10000,0,40179.10000,0
40179.11000,0,40179.11000,0,40179.11000,0,40179.11000,0
40179.12000,0,40179.12000,0,40179.12000,0,40179.12000,0
40179.13000,0,40179.13000,0,40179.13000,0,40179.13000,0
40179.14000,0,40179.14000,0,40179.14000,0,40179.14000,0
40179.15000,0,40179.15000,0,40179.15000,0,40179.15000,0
40179.16000,0,40179.16000,0,40179.16000,0,40179.16000,0
40179.17000,0,40179.17000,0,40179.17000,0,40179.17000,0
40179.18000,0,40179.18000,0,40179.18000,0,40179.18000,0
40179.19000,0,40179.19000,0,40179.19000,0,40179.19000,0
40179.20000,0,40179.20000,0,40179.20000,0,40179.20000,0
40179.21000,0,40179.21000,0,40179.21000,0,40179.21000,0
40179.22000,0,40179.22000,0,40179.22000,0,40179.22000,0
40179.23000,0,40179.23000,0,40179.23000,0,40179.23000,0
40179.24000,0,40179.24000,0,40179.24000,0,40179.24000,0
40179.25000,0,40179.25000,0,40179.25000,0,40179.25000,0
40179.26000,0,40179.26000,0,40179.26000,0,40179.26000,0
40179.27000,0,40179.27000,0,40179.27000,0,40179.27000,0
40179.28000,0,40179.28000,0,40179.28000,0,40179.28000,0
40179.29000,0,40179.29000,0,40179.29000,0,40179.29000,0
40179.30000,0,40179.30000,0,40179.30000,0,40179.30000,0
40179.31000,0,40179.31000,0,40179.31000,0,40179.31000,0
40179.32000,0,40179.32000,0,40179.32000,0,40179.32000,0
40179.33000,0,40179.33000,0,40179.33000,0,40179.33000,0
40179.34000,0,40179.34000,0,40179.34000,0,40179.34000,0
40179.35000,0,40179.35000,0,40179.35000,0,40179.35000,0
40179.36000,0,40179.36000,0,40179.36000,0,40179.36000,0
40179.37000,0,40179.37000,0,40179.37000,0,40179.37000,0
40179.38000,0,40179.38000,0,40179.38000,0,40179.38000,0
40179.39000,0,40179.39000,0,40179.39000,0,40179.39000,0
40179.40000,0,40179.40000,0,40179.40000,0,40179.40000,0
40179.41000,0,40179.41000,0,40179.41000,0,40179.41000,0
40179.42000,0,40179.42000,0,40179.42000,0,40179.42000,0
40179.43000,0,40179.43000,0,40179.43000,0,40179.43000,0
40179.44000,0,40179.44000,0,40179.44000,0,40179.44000,0
40179.45000,0,40179.45000,0,40179.45000,0,40179.45000,0
40179.46000,0,40179.46000,0,40179.46000,0,40179.46000,0
40179.47000,0,40179.47000,0,40179.47000,0,40179.47000,0
40179.48000,0,40179.48000,0,40179.48000,0,40179.48000,0
40179.49000,0,40179.49000,0,40179.49000,0,40179.49000,0
40179.50000,0,40179.50000,0,40179.50000,0,40179.50000,0
40179.51000,0,40179.51000,0,40179.51000,0,40179.51000,0
40179.52000,0,40179.52000,0,40179.52000,0,40179.52000,0
40179.53000,0,40179.53000,0,40179.53000,0,40179.53000,0
40179.54000,0,40179.54000,0,40179.54000,0,40179.54000,0
40179.55000,0,40179.55000,0,40179.55000,0,40179.55000,0
40179.56000,0,40179.56000,0,40179.56000,0,40179.56000,0
40179.57000,0,40179.57000,0,40179.57000,0,40179.57000,0
40179.58000,0,40179.58000,0,40179.58000,0,40179.58000,0
40179.59000,0,40179.59000,0,40179.59000,0,40179.59000,0
40179.60000,0,40179.60000,0,40179.60000,0,40179.60000,0
40179.61000,0,40179.61000,0,40179.61000,0,40179.61000,0
40179.62000,0,40179.62000,0,40179.62000,0,40179.62000,0
40179.63000,0,40179.63000,0,40179.63000,0,40179.63000,0
40179.64000,0,40179.64000,0,40179.64000,0,40179.64000,0
40179.65000,0,40179.65000,0,40179.65000,0,40179.65000,0
40179.66000,0,40179.66000,0,40179.66000,0,40179.66000,0
40179.67000,0,40179.67000,0,40179.67000,0,40179.67000,0
40179.68000,0,40179.68000,0,40179.68000,0,40179.68000,0
40179.69000,0,40179.69000,0,40179.69000,0,40179.69000,0
40179.70000,0,40179.70000,0,40179.70000,0,40179.70000,0
40179.71000,0,40179.71000,0,40179.71000,0,40179.71000,0
40179.72000,0,40179.72000,0,40179.72000,0,40179.72000,0
40179.73000,0,40179.73000,0,40179.73000,0,40179.73000,0
40179.74000,0,40179.74000,0,40179.74000,0,40179.74000,0
40179.75000,0,40179.75000,0,40179.75000,0,40179.75000,0
40179.76000,0,40179.76000,0,40179.76000,0,40179.76000,0
40179.77000,0,40179.77000,0,40179.77000,0,40179.77000,0
40179.78000,0,40179.78000,0,40179.78000,0,40179.78000,0
40179.79000,0,40179.79000,0,40179.79000,0,40179.79000,0
40179.80000,0,40179.80000,0,40179.80000,0,40179.80000,0
40179.81000,0,40179.81000,0,40179.81000,0,40179.81000,0
40179.82000,0,40179.82000,0,40179.82000,0,40179.82000,0
40179.83000,0,40179.83000,0,40179.83000,0,40179.83000,0
40179.84000,0,40179.84000,0,40179.84000,0,40179.84000,0
40179.85000,0,40179.85000,0,40179.85000,0,40179.85000,0
40179.86000,0,40179.86000,0,40179.86000,0,40179.86000,0
40179.87000,0,40179.87000,0,40179.87000,0,40179.87000,0
40179.88000,0,40179.88000,0,40179.88000,0,40179.88000,0
40179.89000,0,40179.89000,0,40179.89000,0,40179.89000,0
40179.90000,0,40179.90000,0,40179.90000,0,40179.90000,0
40179.91000,0,40179.91000,0,40179.91000,0,40179.91000,0
40179.92000,0,40179.92000,0,40179.92000,0,40179.92000,0
40179.93000,0,40179.93000,0,40179.93000,0,40179.93000,0
40179.94000,0,40179.94000,0,40179.94000,0,40179.94000,0
40179.95000,0,40179.95000,0,40179.95000,0,40179.95000,0
40179.96000,0,40179.96000,0,40179.96000,0,40179.96000,0
40179.97000,0,40179.97000,0,40179.97000,0,40179.97000,0
40179.98000,0,40179.98000,0,40179.98000,0,40179.98000,0
40179.99000,0,40179.99000,0,40179.99000,0,40179.99000,0
40180.00000,0,40180.00000,0,40180.00000,0,40180.00000,0
40180.01000,0,40180.01000,0,40180.01000,0,40180.01000,0
40180.02000,0,40180.02000,0,40180.02000,0,40180.02000,0
40180.03000,0,40180.03000,0,40180.03000,0,40180.03000,0
40180.04000,0,40180.04000,0,40180.04000,0,40180.04000,0
40180.05000,0,40180.05000,0,40180.05000,0,40180.05000,0
40180.06000,0,40180.06000,0,40180.06000,0,40180.06000,0
40180.07000,0,40180.07000,0,40180.07000,0,40180.07000,0
40180.08000,0,40180.08000,0,40180.08000,0,40180.08000,0
40180.09000,0,40180.09000,0,40180.09000,0,40180.09000,0
40180.10000,0,40180.10000,0,40180.10000,0,40180.10000,0
40180.11000,0,40180.11000,0,40180.11000,0,40180.11000,0
40180.12000,0,40180.12000,0,40180.12000,0,40180.12000,0
40180.13000,0,40180.13000,0,40180.13000,0,40180.13000,0
40180.14000,0,40180.14000,0,40180.14000,0,40180.14000,0
40180.15000,0,40180.15000,0,40180.15000,0,40180.15000,0
40180.16000,0,40180.16000,0,40180.16000,0,40180.16000,0
40180.17000,0,40180.17000,0,40180.17000,0,40180.17000,0
40180.18000,0,40180.18000,0,40180.18000,0,40180.18000,0
40180.19000,0,40180.19000,0,40180.19000,0,40180.19000,0
40180.20000,0,40180.20000,0,40180.20000,0,40180.20000,0
40180.21000,0,40180.21000,0,40180.21000,0,40180.21000,0
40180.22000,0,40180.22000,0,40180.22000,0,40180.22000,0
40180.23000,0,40180.23000,0,40180.23000,0,40180.23000,0
40180.24000,0,40180.24000,0,40180.24000,0,40180.24000,0
40180.25000,0,40180.25000,0,40180.25000,0,40180.25000,0
40180.26000,0,40180.26000,0,40180.26000,0,40180.26000,0
40180.27000,0,40180.27000,0,40180.27000,0,40180.27000,0
40180.28000,0,40180.28000,0,40180.28000,0,40180.28000,0
40180.29000,0,40180.29000,0,40180.29000,0,40180.29000,0
40180.30000,0,40180.30000,0,40180.30000,0,40180.30000,0
40180.31000,0,40180.31000,0,40180.31000,0,40180.31000,0
40180.32000,0,40180.32000,0,40180.32000,0,40180.32000,0
40180.33000,0,40180.33000,0,40180.33000,0,40180.33000,0
40180.34000,0,40180.34000,0,40180.34000,0,40180.34000,0
40180.35000,0,40180.35000,0,40180.35000,0,40180.35000,0
40180.36000,0,40180.36000,0,40180.36000,0,40180.36000,0
40180.37000,0,40180.37000,0,40180.37000,0,40180.37000,0
40180.38000,0,40180.38000,0,40180.38000,0,40180.38000,0
40180.39000,0,40180.39000,0,40180.39000,0,40180.39000,0
40180.40000,0,40180.40000,0,40180.40000,0,40180.40000,0
40180.41000,0,40180.41000,0,40180.41000,0,40180.41000,0
40180.42000,0,40180.42000,0,40180.42000,0,40180.42000,0
40180.43000,0,40180.43000,0,40180.43000,0,40180.43000,0
40180.44000,0,40180.44000,0,40180.44000,0,40180.44000,0
40180.45000,0,40180.45000,0,40180.45000,0,40180.45000,0
40180.46000,0,40180.46000,0,40180.46000,0,40180.46000,0
40180.47000,0,40180.47000,0,40180.47000,0,40180.47000,0
40180.48000,0,40180.48000,0,40180.48000,0,40180.48000,0
40180.49000,0,40180.49000,0,40180.49000,0,40180.49000,0
40180.50000,0,40180.50000,0,40180.50000,0,40180.50000,0
40180.51000,0,40180.51000,0,40180.51000,0,40180.51000,0
40180.52000,0,40180.52000,0,40180.52000,0,40180.52000,0
40180.53000,0,40180.53000,0,40180.53000,0,40180.53000,0
40180.54000,0,40180.54000,0,40180.54000,0,40180.54000,0
40180.55000,0,40180.55000,0,40180.55000,0,40180.55000,0
40180.56000,0,40180.56000,0,40180.56000,0,40180.56000,0
40180.57000,0,40180.57000,0,40180.57000,0,40180.57000,0
40180.58000,0,40180.58000,0,40180.58000,0,40180.58000,0
40180.59000,0,40180.59000,0,40180.59000,0,40180.59000,0
40180.60000,0,40180.60000,0,40180.60000,0,40180.60000,0
40180.61000,0,40180.61000,0,40180.61000,0,40180.61000,0
40180.62000,0,40180.62000,0,40180.62000,0,40180.62000,0
40180.63000,0,40180.63000,0,40180.63000,0,40180.63000,0
40180.64000,0,40180.64000,0,40180.64000,0,40180.64000,0
40180.65000,0,40180.65000,0,40180.65000,0,40180.65000,0
40180.66000,0,40180.66000,0,40180.66000,0,40180.66000,0
40180.67000,0,40180.67000,0,40180.67000,0,40180.67000,0
40180.68000,0,40180.68000,0,40180.68000,0,40180.68000,0
40180.69000,0,40180.69000,0,40180.69000,0,40180.69000,0
40180.70000,0,40180.70000,0,40180.70000,0,40180.70000,0
40180.71000,0,40180.71000,0,40180.71000,0,40180.71000,0
40180.72000,0,40180.72000,0,40180.72000,0,40180.72000,0
40180.73000,0,40180.73000,0,40180.73000,0,40180.73000,0
40180.74000,0,40180.74000,0,40180.74000,0,40180.74000,0
40180.75000,0,40180.75000,0,40180.75000,0,40180.75000,0
40180.76000,0,40180.76000,0,40180.76000,0,40180.76000,0
40180.77000,0,40180.77000,0,40180.77000,0,40180.77000,0
40180.78000,0,40180.78000,0,40180.78000,0,40180.78000,0
40180.79000,0,40180.79000,0,40180.79000,0,40180.79000,0
40180.80000,0,40180.80000,0,40180.80000,0,40180.80000,0
40180.81000,0,40180.81000,0,40180.81000,0,40180.81000,0
40180.82000,0,40180.82000,0,40180.82000,0,40180.82000,0
40180.83000,0,40180.83000,0,40180.83000,0,40180.83000,0
40180.84000,0,40180.84000,0,40180.84000,0,40180.84000,0
40180.85000,0,40180.85000,0,40180.85000,0,40180.85000,0
40180.86000,0,40180.86000,0,40180.86000,0,40180.86000,0
40180.87000,0,40180.87000,0,40180.87000,0,40180.87000,0
40180.88000,0,40180.88000,0,40180.88000,0,40180.88000,0
40180.89000,0,40180.89000,0,40180.89000,0,40180.89000,0
40180.90000,0,40180.90000,0,40180.90000,0,40180.90000,0
40180.91000,0,40180.91000,0,40180.91000,0,40180.91000,0
40180.92000,0,40180.92000,0,40180.92000,0,40180.92000,0
40180.93000,0,40180.93000,0,40180.93000,0,40180.93000,0
40180.94000,0,40180.94000,0,40180.94000,0,40180.94000,0
40180.95000,0,40180.95000,0,40180.95000,0,40180.95000,0
40180.96000,0,40180.96000,0,40180.96000,0,40180.96000,0
40180.97000,0,40180.97000,0,40180.97000,0,40180.97000,0
40180.98000,0,40180.98000,0,40180.98000,0,40180.98000,0
40180.99000,0,40180.99000,0,40180.99000,0,40180.99000,0
40181.00000,0,40181.00000,0,40181.00000,0,40181.00000,0
40181.01000,0,40181.01000,0,40181.01000,0,40181.01000,0
40181.02000,0,40181.02000,0,40181.02000,0,40181.02000,0
40181.03000,0,40181.03000,0,40181.03000,0,40181.03000,0
40181.04000,0,40181.04000,0,40181.04000,0,40181.04000,0
40181.05000,0,40181.05000,0,40181.05000,0,40181.05000,0
40181.06000,0,40181.06000,0,40181.06000,0,40181.06000,0
40181.07000,0,40181.07000,0,40181.07000,0,40181.07000,0
40181.08000,0,40181.08000,0,40181.08000,0,40181.08000,0
40181.09000,0,40181.09000,0,40181.09000,0,40181.09000,0
40181.10000,0,40181.10000,0,40181.10000,0,40181.10000,0
40181.11000,0,40181.11000,0,40181.11000,0,40181.11000,0
40181.12000,0,40181.12000,0,40181.12000,0,40181.12000,0
40181.13000,0,40181.13000,0,40181.13000,0,40181.13000,0
40181.14000,0,40181.14000,0,40181.14000,0,40181.14000,0
40181.15000,0,40181.15000,0,40181.15000,0,40181.15000,0
40181.16000,0,40181.16000,0,40181.16000,0,40181.16000,0
40181.17000,0,40181.17000,0,40181.17000,0,40181.17000,0
40181.18000,0,40181.18000,0,40181.18000,0,40181.18000,0
40181.19000,0,40181.19000,0,40181.19000,0,40181.19000,0
40181.20000,0,40181.20000,0,40181.20000,0,40181.20000,0
40181.21000,0,40181.21000,0,40181.21000,0,40181.21000,0
40181.22000,0,40181.22000,0,40181.22000,0,40181.22000,0
40181.23000,0,40181.23000,0,40181.23000,0,40181.23000,0
40181.24000,0,40181.24000,0,40181.24000,0,40181.24000,0
40181.25000,0,40181.25000,0,40181.25000,0,40181.25000,0
40181.26000,0,40181.26000,0,40181.26000,0,40181.26000,0
40181.27000,0,40181.27000,0,40181.27000,0,40181.27000,0
40181.28000,0,40181.28000,0,40181.28000,0,40181.28000,0
40181.29000,0,40181.29000,0,40181.29000,0,40181.29000,0
40181.30000,0,40181.30000,0,40181.30000,0,40181.30000,0
40181.31000,0,40181.31000,0,40181.31000,0,40181.31000,0
40181.32000,0,40181.32000,0,40181.32000,0,40181.32000,0
40181.33000,0,40181.33000,0,40181.33000,0,40181.33000,0
40181.34000,0,40181.34000,0,40181.34000,0,40181.34000,0
40181.35000,0,40181.35000,0,40181.35000,0,40181.35000,0
40181.36000,0,40181.36000,0,40181.36000,0,40181.36000,0
40181.37000,0,40181.37000,0,40181.37000,0,40181.37000,0
40181.38000,0,40181.38000,0,40181.38000,0,40181.38000,0
40181.39000,0,40181.39000,0,40181.39000,0,40181.39000,0
40181.40000,0,40181.40000,0,40181.40000,0,40181.40000,0
40181.41000,0,40181.41000,0,40181.41000,0,40181.41000,0
40181.42000,0,40181.42000,0,40181.42000,0,40181.42000,0
40181.43000,0,40181.43000,0,40181.43000,0,40181.43000,0
40181.44000,0,40181.44000,0,40181.44000,0,40181.44000,0
40181.45000,0,40181.45000,0,40181.45000,0,40181.45000,0
40181.46000,0,40181.46000,0,40181.46000,0,40181.46000,0
40181.47000,0,40181.47000,0,40181.47000,0,40181.47000,0
40181.48000,0,40181.48000,0,40181.48000,0,40181.48000,0
40181.49000,0,40181.49000,0,40181.49000,0,40181.49000,0
40181.50000,0,40181.50000,0,40181.50000,0,40181.50000,0
40181.51000,0,40181.51000,0,40181.51000,0,40181.51000,0
40181.52000,0,40181.52000,0,40181.52000,0,40181.52000,0
40181.53000,0,40181.53000,0,40181.53000,0,40181.53000,0
40181.54000,0,40181.54000,0,40181.54000,0,40181.54000,0
40181.55000,0,40181.55000,0,40181.55000,0,40181.55000,0
40181.56000,0,40181.56000,0,40181.56000,0,40181.56000,0
40181.57000,0,40181.57000,0,40181.57000,0,40181.57000,0
40181.58000,0,40181.58000,0,40181.58000,0,40181.58000,0
40181.59000,0,40181.59000,0,40181.59000,0,40181.59000,0
40181.60000,0,40181.60000,0,40181.60000,0,40181.60000,0
40181.61000,0,40181.61000,0,40181.61000,0,40181.61000,0
40181.62000,0,40181.62000,0,40181.62000,0,40181.62000,0
40181.63000,0,40181.63000,0,40181.63000,0,40181.63000,0
40181.64000,0,40181.64000,0,40181.64000,0,40181.64000,0
40181.65000,0,40181.65000,0,40181.65000,0,40181.65000,0
40181.66000,0,40181.66000,0,40181.66000,0,40181.66000,0
40181.67000,0,40181.67000,0,40181.67000,0,40181.67000,0
40181.68000,0,40181.68000,0,40181.68000,0,40181.68000,0
40181.69000,0,40181.69000,0,40181.69000,0,40181.69000,0
40181.70000,0,40181.70000,0,40181.70000,0,40181.70000,0
40181.71000,0,40181.71000,0,40181.71000,0,40181.71000,0
40181.72000,0,40181.72000,0,40181.72000,0,40181.72000,0
40181.73000,0,40181.73000,0,40181.73000,0,40181.73000,0
40181.74000,0,40181.74000,0,40181.74000,0,40181.74000,0
40181.75000,0,40181.75000,0,40181.75000,0,40181.75000,0
40181.76000,0,40181.76000,0,40181.76000,0,40181.76000,0
40181.77000,0,40181.77000,0,40181.77000,0,40181.77000,0
40181.78000,0,40181.78000,0,40181.78000,0,40181.78000,0
40181.79000,0,40181.79000,0,40181.79000,0,40181.79000,0
40181.80000,0,40181.80000,0,40181.80000,0,40181.80000,0
40181.81000,0,40181.81000,0,40181.81000,0,40181.81000,0
40181.82000,0,40181.82000,0,40181.82000,0,40181.82000,0
40181.83000,0,40181.83000,0,40181.83000,0,40181.83000,0
40181.84000,0,40181.84000,0,40181.84000,0,40181.84000,0
40181.85000,0,40181.85000,0,40181.85000,0,40181.85000,0
40181.86000,0,40181.86000,0,40181.86000,0,40181.86000,0
40181.87000,0,40181.87000,0,40181.87000,0,40181.87000,0
40181.88000,0,40181.88000,0,40181.88000,0,40181.88000,0
40181.89000,0,40181.89000,0,40181.89000,0,40181.89000,0
40181.90000,0,40181.90000,0,40181.90000,0,40181.90000,0
40181.91000,0,40181.91000,0,40181.91000,0,40181.91000,0
40181.92000,0,40181.92000,0,40181.92000,0,40181.92000,0
40181.93000,0,40181.93000,0,40181.93000,0,40181.93000,0
40181.94000,0,40181.94000,0,40181.94000,0,40181.94000,0
40181.95000,0,40181.95000,0,40181.95000,0,40181.95000,0
40181.96000,0,40181.96000,0,40181.96000,0,40181.96000,0
40181.97000,0,40181.97000,0,40181.97000,0,40181.97000,0
40181.98000,0,40181.98000,0,40181.98000,0,40181.98000,0
40181.99000,0,40181.99000,0,40181.99000,0,40181.99000,0
40182.00000,0,40182.00000,0,40182.00000,0,40182.00000,0
40182.01000,0,40182.01000,0,40182.01000,0,40182.01000,0
40182.02000,0,40182.02000,0,40182.02000,0,40182.02000,0
40182.03000,0,40182.03000,0,40182.03000,0,40182.03000,0
40182.04000,0,40182.04000,0,40182.04000,0,40182.04000,0
40182.05000,0,40182.05000,0,40182.05000,0,40182.05000,0
40182.06000,0,40182.06000,0,40182.06000,0,40182.06000,0
40182.07000,0,40182.07000,0,40182.07000,0,40182.07000,0
40182.08000,0,40182.08000,0,40182.08000,0,40182.08000,0
40182.09000,0,40182.09000,0,40182.09000,0,40182.09000,0
40182.10000,0,40182.10000,0,40182.10000,0,40182.10000,0
40182.11000,0,40182.11000,0,40182.11000,0,40182.11000,0
40182.12000,0,40182.12000,0,40182.12000,0,40182.12000,0
40182.13000,0,40182.13000,0,40182.13000,0,40182.13000,0
40182.14000,0,40182.14000,0,40182.14000,0,40182.14000,0
40182.15000,0,40182.15000,0,40182.15000,0,40182.15000,0
40182.16000,0,40182.16000,0,40182.16000,0,40182.16000,0
40182.17000,0,40182.17000,0,40182.17000,0,40182.17000,0
40182.18000,0,40182.18000,0,40182.18000,0,40182.18000,0
40182.19000,0,40182.19000,0,40182.19000,0,40182.19000,0
40182.20000,0,40182.20000,0,40182.20000,0,40182.20000,0
40182.21000,0,40182.21000,0,40182.21000,0,40182.21000,0
40182.22000,0,40182.22000,0,40182.22000,0,40182.22000,0
40182.23000,0,40182.23000,0,40182.23000,0,40182.23000,0
40182.24000,0,40182.24000,0,40182.24000,0,40182.24000,0
40182.25000,0,40182.25000,0,40182.25000,0,40182.25000,0
40182.26000,0,40182.26000,0,40182.26000,0,40182.26000,0
40182.27000,0,40182.27000,0,40182.27000,0,40182.27000,0
40182.28000,0,40182.28000,0,40182.28000,0,40182.28000,0
40182.29000,0,40182.29000,0,40182.29000,0,40182.29000,0
40182.30000,0,40182.30000,0,40182.30000,0,40182.30000,0
40182.31000,0,40182.31000,0,40182.31000,0,40182.31000,0
40182.32000,0,40182.32000,0,40182.32000,0,40182.32000,0
40182.33000,0,40182.33000,0,40182.33000,0,40182.33000,0
40182.34000,0,40182.34000,0,40182.34000,0,40182.34000,0
40182.35000,0,40182.35000,0,40182.35000,0,40182.35000,0
40182.36000,0,40182.36000,0,40182.36000,0,40182.36000,0
40182.37000,0,40182.37000,0,40182.37000,0,40182.37000,0
40182.38000,0,40182.38000,0,40182.38000,0,40182.38000,0
40182.39000,0,40182.39000,0,40182.39000,0,40182.39000,0
40182.40000,0,40182.40000,0,40182.40000,0,40182.40000,0
40182.41000,0,40182.41000,0,40182.41000,0,40182.41000,0
40182.42000,0,40182.42000,0,40182.42000,0,40182.42000,0
40182.43000,0,40182.43000,0,40182.43000,0,40182.43000,0
40182.44000,0,40182.44000,0,40182.44000,0,40182.44000,0
40182.45000,0,40182.45000,0,40182.45000,0,40182.45000,0
40182.46000,0,40182.46000,0,40182.46000,0,40182.46000,0
40182.47000,0,40182.47000,0,40182.47000,0,40182.47000,0
40182.48000,0,40182.48000,0,40182.48000,0,40182.48000,0
40182.49000,0,40182.49000,0,40182.49000,0,40182.49000,0
40182.50000,0,40182.50000,0,40182.50000,0,40182.50000,0
40182.51000,0,40182.51000,0,40182.51000,0,40182.51000,0
40182.52000,0,40182.52000,0,40182.52000,0,40182.52000,0
40182.53000,0,40182.53000,0,40182.53000,0,40182.53000,0
40182.54000,0,40182.54000,0,40182.54000,0,40182.54000,0
40182.55000,0,40182.55000,0,40182.55000,0,40182.55000,0
40182.56000,0,40182.56000,0,40182.56000,0,40182.56000,0
40182.57000,0,40182.57000,0,40182.57000,0,40182.57000,0
40182.58000,0,40182.58000,0,40182.58000,0,40182.58000,0
40182.59000,0,40182.59000,0,40182.59000,0,40182.59000,0
40182.60000,0,40182.60000,0,40182.60000,0,40182.60000,0
40182.61000,0,40182.61000,0,40182.61000,0,40182.61000,0
40182.62000,0,40182.62000,0,40182.62000,0,40182.62000,0
40182.63000,0,40182.63000,0,40182.63000,0,40182.63000,0
40182.64000,0,40182.64000,0,40182.64000,0,40182.64000,0
40182.65000,0,40182.65000,0,40182.65000,0,40182.65000,0
40182.66000,0,40182.66000,0,40182.66000,0,40182.66000,0
40182.67000,0,40182.67000,0,40182.67000,0,40182.67000,0
40182.68000,0,40182.68000,0,40182.68000,0,40182.68000,0
40182.69000,0,40182.69000,0,40182.69000,0,40182.69000,0
40182.70000,0,40182.70000,0,40182.70000,0,40182.70000,0
40182.71000,0,40182.71000,0,40182.71000,0,40182.71000,0
40182.72000,0,40182.72000,0,40182.72000,0,40182.72000,0
40182.73000,0,40182.73000,0,40182.73000,0,40182.73000,0
40182.74000,0,40182.74000,0,40182.74000,0,40182.74000,0
40182.75000,0,40182.75000,0,40182.75000,0,40182.75000,0
40182.76000,0,40182.76000,0,40182.76000,0,40182.76000,0
40182.77000,0,40182.77000,0,40182.77000,0,40182.77000,0
40182.78000,0,40182.78000,0,40182.78000,0,40182.78000,0
40182.79000,0,40182.79000,0,40182.79000,0,40182.79000,0
40182.80000,0,40182.80000,0,40182.80000,0,40182.80000,0
40182.81000,0,40182.81000,0,40182.81000,0,40182.81000,0
40182.82000,0,40182.82000,0,40182.82000,0,40182.82000,0
40182.83000,0,40182.83000,0,40182.83000,0,40182.83000,0
40182.84000,0,40182.84000,0,40182.84000,0,40182.84000,0
40182.85000,0,40182.85000,0,40182.85000,0,40182.85000,0
40182.86000,0,40182.86000,0,40182.86000,0,40182.86000,0
40182.87000,0,40182.87000,0,40182.87000,0,40182.87000,0
40182.88000,0,40182.88000,0,40182.88000,0,40182.88000,0
40182.89000,0,40182.89000,0,40182.89000,0,40182.89000,0
40182.90000,0,40182.90000,0,40182.90000,0,40182.90000,0
40182.91000,0,40182.91000,0,40182.91000,0,40182.91000,0
40182.92000,0,40182.92000,0,40182.92000,0,40182.92000,0
40182.93000,0,40182.93000,0,40182.93000,0,40182.93000,0
40182.94000,0,40182.94000,0,40182.94000,0,40182.94000,0
40182.95000,0,40182.95000,0,40182.95000,0,40182.95000,0
40182.96000,0,40182.96000,0,40182.96000,0,40182.96000,0
40182.97000,0,40182.97000,0,40182.97000,0,40182.97000,0
40182.98000,0,40182.98000,0,40182.98000,0,40182.98000,0
40182.99000,0,40182.99000,0,40182.99000,0,40182.99000,0
40183.00000,0,40183.00000,0,40183.00000,0,40183.00000,0
40183.01000,0,40183.01000,0,40183.01000,0,40183.01000,0
40183.02000,0,40183.02000,0,40183.02000,0,40183.02000,0
40183.03000,0,40183.03000,0,40183.03000,0,40183.03000,0
40183.04000,0,40183.04000,0,40183.04000,0,40183.04000,0
40183.05000,0,40183.05000,0,40183.05000,0,40183.05000,0
40183.06000,0,40183.06000,0,40183.06000,0,40183.06000,0
40183.07000,0,40183.07000,0,40183.07000,0,40183.07000,0
40183.08000,0,40183.08000,0,40183.08000,0,40183.08000,0
40183.09000,0,40183.09000,0,40183.09000,0,40183.09000,0
40183.10000,0,40183.10000,0,40183.10000,0,40183.10000,0
40183.11000,0,40183.11000,0,40183.11000,0,40183.11000,0
40183.12000,0,40183.12000,0,40183.12000,0,40183.12000,0
40183.13000,0,40183.13000,0,40183.13000,0,40183.13000,0
40183.14000,0,40183.14000,0,40183.14000,0,40183.14000,0
40183.15000,0,40183.15000,0,40183.15000,0,40183.15000,0
